# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       9.326212236469e+13       8.690111227882e-26       4.969479050487e-09       1.876594953368e+22       1.415027915038e+04       1.517258967692e-10       1.319685065617e+18       2.869287874608e-09       2.081614238068e+44       2.020174531648e+33       1.084038246153e+34       4.727482367912e+43       1.575827455971e+43       3.449766788309e-08       9.672461440185e+43       3.521608619006e+44       3.521608619006e+44       1.173869539626e+44      -9.448112902086e+52       7.785735745506e-07       1.433565615564e+01 
       9.261382558559e+13       8.812198600522e-26       5.004039849155e-09       1.850595931132e+22       1.415027915038e+04       1.527879780466e-10       1.310511485221e+18       2.889372889731e-09       2.024334923495e+44       1.978337940647e+33       1.061588470639e+34       4.597397290312e+43       1.532465763437e+43       3.449766788309e-08       9.406306476697e+43       3.424705300322e+44       3.424705300322e+44       1.141568433399e+44      -9.124261457069e+52       8.564309320056e-07       1.303241468694e+01 
       9.197003533823e+13       8.936001178660e-26       5.040419637226e-09       1.824957108712e+22       1.415027915038e+04       1.538574938929e-10       1.301401673506e+18       2.909598499959e-09       1.968631751041e+44       1.937367760107e+33       1.039603616380e+34       4.470891734771e+43       1.490297244924e+43       3.449766788309e-08       9.147475239958e+43       3.330468448638e+44       3.330468448638e+44       1.110156149505e+44      -8.811510615900e+52       9.342882894606e-07       1.194638012970e+01 
       9.133072029615e+13       9.061543059219e-26       5.074980435893e-09       1.799673495770e+22       1.415027915038e+04       1.549344963502e-10       1.292355187196e+18       2.929965689458e-09       1.914461350357e+44       1.897246047191e+33       1.018074055136e+34       4.347867204377e+43       1.449289068126e+43       3.449766788309e-08       8.895766204615e+43       3.238824691377e+44       3.238824691377e+44       1.079608230419e+44      -8.509479884969e+52       1.012145646916e-06       1.102742781203e+01 
       9.069584935070e+13       9.188848677658e-26       5.109541234560e-09       1.774740171106e+22       1.415027915038e+04       1.560190378246e-10       1.283371586093e+18       2.950475449284e-09       1.861781544502e+44       1.857955230650e+33       9.969903580666e+33       4.228227912539e+43       1.409409304180e+43       3.449766788309e-08       8.650983390640e+43       3.149702674938e+44       3.149702674938e+44       1.049900891607e+44      -8.217801812781e+52       1.090003004371e-06       1.023975439688e+01 
       9.006539160943e+13       9.317942812730e-26       5.145921022631e-09       1.750152281701e+22       1.415027915038e+04       1.571111710894e-10       1.274450433062e+18       2.971128777429e-09       1.810551317112e+44       1.819478103123e+33       9.763432915935e+33       4.111880708402e+43       1.370626902801e+43       3.449766788309e-08       8.412936210745e+43       3.063033009143e+44       3.063033009143e+44       1.021011003009e+44      -7.936121542921e+52       1.167860361826e-06       9.557104103757e+00 
       8.943931639467e+13       9.448850591306e-26       5.182300810702e-09       1.725905041769e+22       1.415027915038e+04       1.582109492870e-10       1.265591294004e+18       2.991926678871e-09       1.760730780460e+44       1.781797813602e+33       9.561238133619e+33       3.998735004325e+43       1.332911668108e+43       3.449766788309e-08       8.181439321990e+43       2.978748213205e+44       2.978748213205e+44       9.929160710304e+43      -7.664096382326e+52       1.245717719280e-06       8.959785097272e+00 
       8.881759324197e+13       9.581597493263e-26       5.218680598773e-09       1.701993731831e+22       1.415027915038e+04       1.593184259320e-10       1.256793737839e+18       3.012870165623e-09       1.712281144399e+44       1.744897860055e+33       9.363230682782e+33       3.888702705343e+43       1.296234235114e+43       3.449766788309e-08       7.956312481476e+43       2.896782663192e+44       2.896782663192e+44       9.655942210270e+43      -7.401395384371e+52       1.323575076735e-06       8.432738915079e+00 
       8.820019189868e+13       9.716209356446e-26       5.255060386844e-09       1.678413697791e+22       1.415027915038e+04       1.604336549135e-10       1.248057336484e+18       3.033960256782e-09       1.665164686165e+44       1.708762082197e+33       9.169323846325e+33       3.781698140583e+43       1.260566046861e+43       3.449766788309e-08       7.737380406005e+43       2.817072540933e+44       2.817072540933e+44       9.390241802746e+43      -7.147698946235e+52       1.401432434190e-06       7.964253419797e+00 
       8.758708232243e+13       9.852712381694e-26       5.291440174915e-09       1.655160350034e+22       1.415027915038e+04       1.615566904979e-10       1.239381664830e+18       3.055197978580e-09       1.619344721000e+44       1.673374654413e+33       8.979432703009e+33       3.677637996559e+43       1.225879332186e+43       3.449766788309e-08       7.524472635610e+43       2.739555784323e+44       2.739555784323e+44       9.131852614056e+43      -6.902698420069e+52       1.479289791645e-06       7.545082187175e+00 
