# mncdm MFD HEDR HELT HE LTDR
1.373737373737373701e-01 2.713750172731454549e-05 4.465704871574026846e+00 9.363653133259476347e-01 1.865968917211645373e+00 1.245601862554805273e+01
1.393939393939394034e-01 2.998266165636399793e-05 4.541123209075041522e+00 9.539842765999867469e-01 1.895552689850640959e+00 1.269356529900090713e+01
1.414141414141414088e-01 2.823327823686084021e-05 4.629924405430394962e+00 9.651963530805531821e-01 1.919051849221380390e+00 1.294292857123147300e+01
1.434343434343434420e-01 3.715481126314598644e-05 4.709564735726647022e+00 9.872902308845155073e-01 1.947393129288485403e+00 1.318707700743421007e+01
1.454545454545454475e-01 2.933537114133720952e-05 4.770366862202529035e+00 1.004132461381465280e+00 1.979333221062082870e+00 1.344030505606178494e+01
1.474747474747474807e-01 3.051661842340989088e-05 4.854873839761441268e+00 1.020949558009601077e+00 2.009825863103567478e+00 1.367229315074834162e+01
1.494949494949494861e-01 0.000000000000000000e+00 4.934267929490655291e+00 1.035109656026838465e+00 2.035843805403548146e+00 1.392583929248072216e+01
1.515151515151515194e-01 3.140869306418208912e-05 5.026947383850361994e+00 1.053095437270525903e+00 2.060373752502200784e+00 1.419556268698074497e+01
1.535353535353535248e-01 2.085761251917390453e-05 5.090992044778698933e+00 1.070717516434656957e+00 2.090569300453826163e+00 1.443343340996867674e+01
1.555555555555555580e-01 3.201471536653106289e-05 5.180656329076462008e+00 1.089089528000338536e+00 2.123544207215851465e+00 1.469462486761741005e+01
1.575757575757575635e-01 4.664954447794747645e-05 5.264959638971603795e+00 1.105390428762615951e+00 2.151520392652600311e+00 1.495352801181045699e+01
1.595959595959595967e-01 4.388067911963077020e-05 5.360522362606092273e+00 1.117265411618922233e+00 2.178210274514377431e+00 1.521512405470293849e+01
1.616161616161616021e-01 2.707061137100527396e-05 5.436267101605659846e+00 1.140316622697397975e+00 2.203896549296268770e+00 1.547888884900980244e+01
1.636363636363636354e-01 1.277727670515121839e-05 5.516484387723760818e+00 1.157325364795916078e+00 2.236528560068035354e+00 1.573435731131081106e+01
1.656565656565656686e-01 3.820439765262632415e-05 5.606531904840995395e+00 1.174686341114086430e+00 2.267822744396042811e+00 1.598530575247154850e+01
1.676767676767676740e-01 2.126551198537199623e-05 5.695138277513549951e+00 1.194108035313388161e+00 2.297764130627859114e+00 1.625146147274146102e+01
1.696969696969697072e-01 3.217380922427433255e-05 5.781089862647007749e+00 1.205017842191558497e+00 2.320973933502916253e+00 1.653015426425294976e+01
1.717171717171717127e-01 3.181078433487612232e-05 5.869821121635649952e+00 1.227434723315256493e+00 2.349642526002625686e+00 1.677754451640644717e+01
1.737373737373737459e-01 3.073782685877451813e-05 5.964595543706211700e+00 1.244189696147657509e+00 2.379382272775856233e+00 1.705039588983200005e+01
1.757575757575757514e-01 2.701499583564654188e-05 6.049661147535455363e+00 1.261426969744978921e+00 2.412583677305307539e+00 1.731611965770622774e+01
1.777777777777777846e-01 1.991326191260487586e-05 6.146982999813811688e+00 1.272327787954032008e+00 2.437474102426526290e+00 1.758334439178167230e+01
1.797979797979797900e-01 4.006105340602016763e-05 6.245862630573938645e+00 1.290785807173289390e+00 2.466130572374463981e+00 1.785541934539763176e+01
1.818181818181818232e-01 1.607656679767169723e-05 6.333435086901894273e+00 1.313866051011289393e+00 2.495079157060953623e+00 1.810585540647003100e+01
1.838383838383838287e-01 2.607270603523922521e-05 6.431360664742726385e+00 1.330916977125169876e+00 2.532484945661079401e+00 1.837759505484871525e+01
1.858585858585858619e-01 3.662862268772878809e-05 6.503552875159853919e+00 1.352388257860885235e+00 2.562116312738357937e+00 1.864676915714891337e+01
1.878787878787878673e-01 0.000000000000000000e+00 6.615300446691745329e+00 1.363946479888415553e+00 2.583768565487241986e+00 1.892152213750257417e+01
1.898989898989899006e-01 3.455233711342837652e-05 6.709470918038173082e+00 1.384829953459990604e+00 2.611566579660568266e+00 1.918739169350540053e+01
1.919191919191919060e-01 2.134150885012585158e-05 6.806467512594180036e+00 1.403209178989362149e+00 2.629821286703718286e+00 1.946370982110039449e+01
1.939393939393939392e-01 3.988987340165421294e-05 6.891356905573822189e+00 1.411268223974450509e+00 2.665194176790876668e+00 1.972678382301585387e+01
1.959595959595959724e-01 3.105453268043169003e-05 7.005911789339057449e+00 1.431775122007642675e+00 2.698859018177866886e+00 2.001759226280723425e+01
1.979797979797979779e-01 3.800931464785967567e-05 7.107925154361151243e+00 1.447860490516955867e+00 2.729040124292788860e+00 2.029374287804002108e+01
2.000000000000000111e-01 2.862146047985671856e-05 7.192788054711469314e+00 1.471828794391521589e+00 2.755224128814206086e+00 2.056098246679861319e+01
