# mlight/meV nloc/cm-3 sensitivity
6.902381761216658163e+01 5.371121841671087971e+00 0.000000000000000000e+00
7.289418326233582945e+01 5.371121841671087971e+00 0.000000000000000000e+00
7.698157154011721559e+01 5.371121841671087971e+00 0.000000000000000000e+00
8.129815153369324321e+01 5.371121841671087971e+00 0.000000000000000000e+00
8.585677468731610418e+01 5.371121841671087971e+00 0.000000000000000000e+00
9.067101306299150565e+01 5.371121841671087971e+00 0.000000000000000000e+00
9.575519974760622688e+01 5.371121841671087971e+00 0.000000000000000000e+00
1.011244715258004874e+02 5.371121841671087971e+00 0.000000000000000000e+00
1.067948139456319865e+02 5.371121841671087971e+00 0.000000000000000000e+00
1.127831089112023761e+02 5.371121841671087971e+00 1.291728748827287443e-01
1.191071849439409220e+02 5.371121841671087971e+00 2.859469349597264509e-01
1.257858702621828968e+02 5.371121841671087971e+00 1.775608644057883045e-01
1.328390488370751541e+02 5.371121841671087971e+00 3.031716101976149602e-01
1.402877195916981350e+02 5.371121841671087971e+00 3.288131088367564625e-01
1.481540589196547160e+02 5.371121841671087971e+00 4.165165932903329704e-01
1.564614867092575139e+02 5.371121841671087971e+00 4.685269306128657663e-01
1.652347360698838656e+02 5.371121841671087971e+00 4.899296862497441452e-01
1.744999269680897100e+02 5.371121841671087971e+00 3.423153885628305027e-01
1.842846439927140239e+02 5.371121841671087971e+00 5.191030423492398738e-01
1.946180184804988755e+02 5.371121841671087971e+00 4.602877352632897545e-01
2.055308152467293610e+02 5.371121841671087971e+00 4.620419161546542863e-01
2.170555241791140872e+02 5.371121841671087971e+00 5.768273956310711048e-01
2.292264569675991766e+02 5.371121841671087971e+00 5.683932410095939858e-01
2.420798492581035646e+02 5.371121841671087971e+00 3.873986725178952817e-01
2.556539685343107919e+02 5.371121841671087971e+00 4.957658811102845786e-01
2.699892280487055132e+02 5.371121841671087971e+00 3.186341880736200949e-01
2.851283071420536999e+02 5.371121841671087971e+00 4.825235563589960197e-01
3.011162783095450663e+02 5.371121841671087971e+00 4.228287873720046885e-01
3.180007413919036594e+02 5.371121841671087971e+00 4.957102768780549673e-01
3.358319652909805768e+02 5.371121841671087971e+00 5.250694752436148027e-01
3.546630376317539231e+02 5.371121841671087971e+00 4.342500994379918100e-01
3.745500228163097063e+02 5.371121841671087971e+00 5.059984886781692115e-01
3.955521289403679930e+02 5.371121841671087971e+00 4.740337018147019466e-01
4.177318840693031348e+02 5.371121841671087971e+00 5.153154904056999053e-01
4.411553223984707301e+02 5.371121841671087971e+00 5.419396070464990167e-01
4.658921808520876198e+02 5.371121841671087971e+00 4.261369764877271926e-01
4.920161067059729021e+02 5.371121841671087971e+00 3.506654551775078565e-01
5.196048768523114632e+02 5.371121841671087971e+00 5.092330073587950645e-01
5.487406293592129032e+02 5.371121841671087971e+00 5.049627561035202605e-01
5.795101080145026344e+02 5.371121841671087971e+00 4.206083146663162631e-01
6.120049205817790607e+02 5.371121841671087971e+00 4.761174183079441846e-01
6.463218115376449759e+02 5.371121841671087971e+00 4.885126263521398227e-01
6.825629501021041960e+02 5.371121841671087971e+00 4.053205717046873269e-01
7.208362344196567619e+02 5.371121841671087971e+00 4.729713183515560915e-01
7.612556127967158091e+02 5.371121841671087971e+00 4.528243987414106164e-01
8.039414229517250305e+02 5.371121841671087971e+00 4.529856651902716691e-01
8.490207502880352877e+02 5.371121841671087971e+00 5.077065755483221032e-01
8.966278062561549405e+02 5.371121841671087971e+00 5.015840392078921850e-01
9.469043279318956365e+02 5.371121841671087971e+00 4.947325820707368926e-01
1.000000000000000000e+03 5.371121841671087971e+00 4.400407926676635495e-01
3.999999999999999289e+01 5.769789967615240656e+00 0.000000000000000000e+00
4.224291601598521595e+01 5.769789967615240656e+00 0.000000000000000000e+00
4.461159883833951767e+01 5.769789967615240656e+00 0.000000000000000000e+00
4.711310057666997864e+01 5.769789967615240656e+00 0.000000000000000000e+00
4.975486877282337161e+01 5.769789967615240656e+00 0.000000000000000000e+00
5.254476857391858857e+01 5.769789967615240656e+00 0.000000000000000000e+00
5.549110614868556723e+01 5.769789967615240656e+00 0.000000000000000000e+00
5.860265341682614348e+01 5.769789967615240656e+00 0.000000000000000000e+00
6.188867416502187524e+01 5.769789967615240656e+00 0.000000000000000000e+00
6.535895162734233566e+01 5.769789967615240656e+00 0.000000000000000000e+00
6.902381761216658163e+01 5.769789967615240656e+00 0.000000000000000000e+00
7.289418326233582945e+01 5.769789967615240656e+00 0.000000000000000000e+00
7.698157154011721559e+01 5.769789967615240656e+00 0.000000000000000000e+00
8.129815153369324321e+01 5.769789967615240656e+00 0.000000000000000000e+00
8.585677468731610418e+01 5.769789967615240656e+00 0.000000000000000000e+00
9.067101306299150565e+01 5.769789967615240656e+00 0.000000000000000000e+00
9.575519974760622688e+01 5.769789967615240656e+00 0.000000000000000000e+00
1.011244715258004874e+02 5.769789967615240656e+00 0.000000000000000000e+00
1.067948139456319865e+02 5.769789967615240656e+00 0.000000000000000000e+00
1.127831089112023761e+02 5.769789967615240656e+00 1.742944498721067936e-01
1.191071849439409220e+02 5.769789967615240656e+00 1.931737456199916769e-01
1.257858702621828968e+02 5.769789967615240656e+00 2.468330115523221513e-01
1.328390488370751541e+02 5.769789967615240656e+00 3.839685580853773317e-01
1.402877195916981350e+02 5.769789967615240656e+00 4.454348172142388873e-01
1.481540589196547160e+02 5.769789967615240656e+00 4.855344529929934705e-01
1.564614867092575139e+02 5.769789967615240656e+00 4.863749342271646015e-01
1.652347360698838656e+02 5.769789967615240656e+00 5.034436234971633173e-01
1.744999269680897100e+02 5.769789967615240656e+00 3.976873375387390830e-01
1.842846439927140239e+02 5.769789967615240656e+00 4.747997355014187959e-01
1.946180184804988755e+02 5.769789967615240656e+00 4.887156941720877668e-01
2.055308152467293610e+02 5.769789967615240656e+00 4.896727011247531958e-01
2.170555241791140872e+02 5.769789967615240656e+00 5.878800617541494189e-01
2.292264569675991766e+02 5.769789967615240656e+00 5.941274633129258742e-01
2.420798492581035646e+02 5.769789967615240656e+00 4.794821537964774616e-01
2.556539685343107919e+02 5.769789967615240656e+00 4.997513591094235319e-01
2.699892280487055132e+02 5.769789967615240656e+00 4.121938393790364197e-01
2.851283071420536999e+02 5.769789967615240656e+00 5.761071714107615094e-01
3.011162783095450663e+02 5.769789967615240656e+00 4.683855063392949880e-01
3.180007413919036594e+02 5.769789967615240656e+00 5.398706746468953099e-01
3.358319652909805768e+02 5.769789967615240656e+00 5.833314906003923550e-01
3.546630376317539231e+02 5.769789967615240656e+00 4.988734268552620366e-01
3.745500228163097063e+02 5.769789967615240656e+00 5.031672983568322710e-01
3.955521289403679930e+02 5.769789967615240656e+00 5.301474761407426461e-01
4.177318840693031348e+02 5.769789967615240656e+00 5.608144173491564910e-01
4.411553223984707301e+02 5.769789967615240656e+00 5.744613794341859592e-01
4.658921808520876198e+02 5.769789967615240656e+00 4.725256831990527484e-01
4.920161067059729021e+02 5.769789967615240656e+00 4.037958673277190491e-01
5.196048768523114632e+02 5.769789967615240656e+00 5.624345524968025201e-01
5.487406293592129032e+02 5.769789967615240656e+00 5.693693201689821182e-01
5.795101080145026344e+02 5.769789967615240656e+00 4.637969685403586229e-01
6.120049205817790607e+02 5.769789967615240656e+00 5.185226238473583660e-01
6.463218115376449759e+02 5.769789967615240656e+00 5.400215814957037841e-01
6.825629501021041960e+02 5.769789967615240656e+00 4.778806706285925743e-01
7.208362344196567619e+02 5.769789967615240656e+00 5.409028553237996695e-01
7.612556127967158091e+02 5.769789967615240656e+00 5.125085344486141059e-01
8.039414229517250305e+02 5.769789967615240656e+00 4.966856491503408022e-01
8.490207502880352877e+02 5.769789967615240656e+00 5.322129835216692362e-01
8.966278062561549405e+02 5.769789967615240656e+00 5.615883460886859080e-01
9.469043279318956365e+02 5.769789967615240656e+00 5.353108546378542165e-01
1.000000000000000000e+03 5.769789967615240656e+00 4.517281189300998423e-01
3.999999999999999289e+01 6.198048983382586918e+00 0.000000000000000000e+00
4.224291601598521595e+01 6.198048983382586918e+00 0.000000000000000000e+00
4.461159883833951767e+01 6.198048983382586918e+00 0.000000000000000000e+00
4.711310057666997864e+01 6.198048983382586918e+00 0.000000000000000000e+00
4.975486877282337161e+01 6.198048983382586918e+00 0.000000000000000000e+00
5.254476857391858857e+01 6.198048983382586918e+00 0.000000000000000000e+00
5.549110614868556723e+01 6.198048983382586918e+00 0.000000000000000000e+00
5.860265341682614348e+01 6.198048983382586918e+00 0.000000000000000000e+00
6.188867416502187524e+01 6.198048983382586918e+00 0.000000000000000000e+00
6.535895162734233566e+01 6.198048983382586918e+00 0.000000000000000000e+00
6.902381761216658163e+01 6.198048983382586918e+00 0.000000000000000000e+00
7.289418326233582945e+01 6.198048983382586918e+00 0.000000000000000000e+00
7.698157154011721559e+01 6.198048983382586918e+00 0.000000000000000000e+00
8.129815153369324321e+01 6.198048983382586918e+00 0.000000000000000000e+00
8.585677468731610418e+01 6.198048983382586918e+00 0.000000000000000000e+00
9.067101306299150565e+01 6.198048983382586918e+00 0.000000000000000000e+00
9.575519974760622688e+01 6.198048983382586918e+00 0.000000000000000000e+00
1.011244715258004874e+02 6.198048983382586918e+00 0.000000000000000000e+00
1.067948139456319865e+02 6.198048983382586918e+00 0.000000000000000000e+00
1.127831089112023761e+02 6.198048983382586918e+00 1.952408279966214577e-01
1.191071849439409220e+02 6.198048983382586918e+00 0.000000000000000000e+00
1.257858702621828968e+02 6.198048983382586918e+00 1.743025420829894534e-01
1.328390488370751541e+02 6.198048983382586918e+00 4.515579200748913169e-01
1.402877195916981350e+02 6.198048983382586918e+00 4.764196652364335316e-01
1.481540589196547160e+02 6.198048983382586918e+00 5.609438676988584005e-01
1.564614867092575139e+02 6.198048983382586918e+00 5.412021344717792282e-01
1.652347360698838656e+02 6.198048983382586918e+00 5.524404750243989692e-01
1.744999269680897100e+02 6.198048983382586918e+00 4.604251587979354410e-01
1.842846439927140239e+02 6.198048983382586918e+00 5.644617187261254942e-01
1.946180184804988755e+02 6.198048983382586918e+00 5.594205716246051230e-01
2.055308152467293610e+02 6.198048983382586918e+00 5.427248088633790379e-01
2.170555241791140872e+02 6.198048983382586918e+00 6.372875825994737120e-01
2.292264569675991766e+02 6.198048983382586918e+00 6.882700770201304330e-01
2.420798492581035646e+02 6.198048983382586918e+00 5.432905621169905608e-01
2.556539685343107919e+02 6.198048983382586918e+00 5.514667524006657828e-01
2.699892280487055132e+02 6.198048983382586918e+00 4.778249866214500652e-01
2.851283071420536999e+02 6.198048983382586918e+00 5.842011495767535090e-01
3.011162783095450663e+02 6.198048983382586918e+00 5.272061989534203574e-01
3.180007413919036594e+02 6.198048983382586918e+00 5.929014086920556537e-01
3.358319652909805768e+02 6.198048983382586918e+00 6.145641609905287961e-01
3.546630376317539231e+02 6.198048983382586918e+00 5.334053403494225520e-01
3.745500228163097063e+02 6.198048983382586918e+00 5.919945362465199867e-01
3.955521289403679930e+02 6.198048983382586918e+00 5.477504518569057401e-01
4.177318840693031348e+02 6.198048983382586918e+00 6.064477344400113212e-01
4.411553223984707301e+02 6.198048983382586918e+00 6.116277113683996625e-01
4.658921808520876198e+02 6.198048983382586918e+00 5.216699449383799259e-01
4.920161067059729021e+02 6.198048983382586918e+00 4.564116373430988638e-01
5.196048768523114632e+02 6.198048983382586918e+00 5.951738885739150664e-01
5.487406293592129032e+02 6.198048983382586918e+00 5.925727615186879849e-01
5.795101080145026344e+02 6.198048983382586918e+00 5.016891663986187133e-01
6.120049205817790607e+02 6.198048983382586918e+00 5.617210306651992946e-01
6.463218115376449759e+02 6.198048983382586918e+00 5.954712933412144027e-01
6.825629501021041960e+02 6.198048983382586918e+00 5.213936406810620872e-01
7.208362344196567619e+02 6.198048983382586918e+00 5.780662405050858155e-01
7.612556127967158091e+02 6.198048983382586918e+00 5.694184601744899377e-01
8.039414229517250305e+02 6.198048983382586918e+00 5.490869687828771051e-01
8.490207502880352877e+02 6.198048983382586918e+00 6.355302225165845309e-01
8.966278062561549405e+02 6.198048983382586918e+00 5.995348405118999802e-01
9.469043279318956365e+02 6.198048983382586918e+00 5.760436665678233537e-01
1.000000000000000000e+03 6.198048983382586918e+00 5.196723338214019883e-01
3.999999999999999289e+01 6.658095254078697067e+00 0.000000000000000000e+00
4.224291601598521595e+01 6.658095254078697067e+00 0.000000000000000000e+00
4.461159883833951767e+01 6.658095254078697067e+00 0.000000000000000000e+00
4.711310057666997864e+01 6.658095254078697067e+00 0.000000000000000000e+00
4.975486877282337161e+01 6.658095254078697067e+00 0.000000000000000000e+00
5.254476857391858857e+01 6.658095254078697067e+00 0.000000000000000000e+00
5.549110614868556723e+01 6.658095254078697067e+00 0.000000000000000000e+00
5.860265341682614348e+01 6.658095254078697067e+00 0.000000000000000000e+00
6.188867416502187524e+01 6.658095254078697067e+00 0.000000000000000000e+00
6.535895162734233566e+01 6.658095254078697067e+00 0.000000000000000000e+00
6.902381761216658163e+01 6.658095254078697067e+00 0.000000000000000000e+00
7.289418326233582945e+01 6.658095254078697067e+00 0.000000000000000000e+00
7.698157154011721559e+01 6.658095254078697067e+00 0.000000000000000000e+00
8.129815153369324321e+01 6.658095254078697067e+00 0.000000000000000000e+00
8.585677468731610418e+01 6.658095254078697067e+00 0.000000000000000000e+00
9.067101306299150565e+01 6.658095254078697067e+00 0.000000000000000000e+00
9.575519974760622688e+01 6.658095254078697067e+00 0.000000000000000000e+00
1.011244715258004874e+02 6.658095254078697067e+00 0.000000000000000000e+00
1.067948139456319865e+02 6.658095254078697067e+00 0.000000000000000000e+00
1.127831089112023761e+02 6.658095254078697067e+00 2.016871587930419152e-01
1.191071849439409220e+02 6.658095254078697067e+00 2.981967899048303949e-01
1.257858702621828968e+02 6.658095254078697067e+00 3.398051189662620875e-01
1.328390488370751541e+02 6.658095254078697067e+00 4.899107179500432618e-01
1.402877195916981350e+02 6.658095254078697067e+00 5.368485726427214555e-01
1.481540589196547160e+02 6.658095254078697067e+00 5.773938898767859706e-01
1.564614867092575139e+02 6.658095254078697067e+00 6.322521941180647698e-01
