# mlight/meV nloc/cm-3 sensitivity
1.000000000000000000e+01 1.000000000000000000e+01 0.000000000000000000e+00
1.064209244064724125e+01 1.000000000000000000e+01 0.000000000000000000e+00
1.132541315152811556e+01 1.000000000000000000e+01 0.000000000000000000e+00
1.205260936870842592e+01 1.000000000000000000e+01 8.637196425158155666e-02
1.282649830528060519e+01 1.000000000000000000e+01 0.000000000000000000e+00
1.365007806546013747e+01 1.000000000000000000e+01 1.194094374864503177e-01
1.452653925946781222e+01 1.000000000000000000e+01 1.953655821361848788e-01
1.545927736419477760e+01 1.000000000000000000e+01 9.432478101520545832e-02
1.645190587753662470e+01 1.000000000000000000e+01 2.253439329313996486e-01
1.750827031735724404e+01 1.000000000000000000e+01 2.260390868304378298e-01
1.863246311931559873e+01 1.000000000000000000e+01 2.767219031524726369e-01
1.982883949127071332e+01 1.000000000000000000e+01 3.302036607053330797e-01
2.110203428568595641e+01 1.000000000000000000e+01 4.204094472295238916e-01
2.245697995539773828e+01 1.000000000000000000e+01 4.549824793363052011e-01
2.389892566231050353e+01 1.000000000000000000e+01 5.121937031225398673e-01
2.543345761304649599e+01 1.000000000000000000e+01 4.611390698468305627e-01
2.706652070033241131e+01 1.000000000000000000e+01 5.083689121442378500e-01
2.880444153396296514e+01 1.000000000000000000e+01 4.845190484091713712e-01
3.065395295056526592e+01 1.000000000000000000e+01 4.898396643774386994e-01
3.262222009711669557e+01 1.000000000000000000e+01 4.707336512328739175e-01
3.471686818926561102e+01 1.000000000000000000e+01 4.657407433076798942e-01
3.694601205199302285e+01 1.000000000000000000e+01 4.242015472545705435e-01
3.931828755705770106e+01 1.000000000000000000e+01 4.625120171812774905e-01
4.184288507901582221e+01 1.000000000000000000e+01 4.470212840526066045e-01
4.452958509942655496e+01 1.000000000000000000e+01 5.223243744701814295e-01
4.738879609717653807e+01 1.000000000000000000e+01 5.216598145068224168e-01
5.043159487171358535e+01 1.000000000000000000e+01 4.735881004203008060e-01
5.366976945540476152e+01 1.000000000000000000e+01 4.921040429051889986e-01
5.711586478126432098e+01 1.000000000000000000e+01 4.505222620692836411e-01
6.078323128297230227e+01 1.000000000000000000e+01 4.926218142051204119e-01
6.468607661546327847e+01 1.000000000000000000e+01 4.822396239473468182e-01
6.883952069645499705e+01 1.000000000000000000e+01 5.336039547562173579e-01
7.325965428215229736e+01 1.000000000000000000e+01 4.740220529335155142e-01
