# mlight/meV nloc/cm-3 sensitivity
4.000000000000001421e+01 1.000000000000000000e+01 0.000000000000000000e+00
4.574119344331683124e+01 1.000000000000000000e+01 0.000000000000000000e+00
5.230641944047322767e+01 1.000000000000000000e+01 0.000000000000000000e+00
5.981395124884883785e+01 1.000000000000000000e+01 0.000000000000000000e+00
6.839903786706790356e+01 1.000000000000000000e+01 0.000000000000000000e+00
7.821634056035759386e+01 1.000000000000000000e+01 0.000000000000000000e+00
8.944271909999160641e+01 1.000000000000000000e+01 5.986108386000684595e-02
1.022804179112240490e+02 1.000000000000000000e+01 2.089475580639670038e-01
1.169607095285146983e+02 1.000000000000000000e+01 3.688481221585998560e-01
1.337480609952844191e+02 1.000000000000000000e+01 4.631133814107871727e-01
1.529448982663459731e+02 1.000000000000000000e+01 5.008964092301403381e-01
1.748970544442334756e+02 1.000000000000000000e+01 4.829779211856181087e-01
2.000000000000000284e+02 1.000000000000000000e+01 4.388000217533632452e-01
2.287059672165840141e+02 1.000000000000000000e+01 4.671883639893606999e-01
2.615320972023659465e+02 1.000000000000000000e+01 5.019018351470090344e-01
2.990697562442441608e+02 1.000000000000000000e+01 4.498528993302442491e-01
3.419951893353393189e+02 1.000000000000000000e+01 4.848082064364641619e-01
3.910817028017877419e+02 1.000000000000000000e+01 4.727096413126378738e-01
4.472135954999579894e+02 1.000000000000000000e+01 4.921414940321902076e-01
5.114020895561201883e+02 1.000000000000000000e+01 4.500543146109987069e-01
5.848035476425728802e+02 1.000000000000000000e+01 4.972175959550740321e-01
6.687403049764220668e+02 1.000000000000000000e+01 5.116060364991207310e-01
7.647244913317297232e+02 1.000000000000000000e+01 5.053192850967271887e-01
8.744852722211672926e+02 1.000000000000000000e+01 5.120725785650005468e-01
1.000000000000000000e+03 1.000000000000000000e+01 4.994120280501037068e-01
4.000000000000001421e+01 1.211527658628588178e+01 0.000000000000000000e+00
4.574119344331683124e+01 1.211527658628588178e+01 0.000000000000000000e+00
5.230641944047322767e+01 1.211527658628588178e+01 0.000000000000000000e+00
5.981395124884883785e+01 1.211527658628588178e+01 0.000000000000000000e+00
6.839903786706790356e+01 1.211527658628588178e+01 0.000000000000000000e+00
