# mlight/eV Tf delta
1.000000000000000021e-02 7.211247851537041509e-01 1.878287126697599299e-02
1.274274985703133418e-02 7.818044568116296889e-01 2.715986518382089432e-02
1.623776739188721729e-02 8.475900721679525684e-01 3.821833403413305713e-02
2.069138081114790112e-02 9.189112752919118554e-01 5.216193025465418881e-02
2.636650898730358294e-02 9.962338630262858041e-01 7.009042560634629049e-02
3.359818286283781236e-02 1.080062827093935862e+00 9.237221080709573373e-02
4.281332398719393806e-02 1.170945652185049424e+00 1.239576937585038507e-01
5.455594781168519869e-02 1.269475891564798120e+00 1.734097861041708766e-01
6.951927961775605791e-02 1.376297043553611266e+00 2.619540413566608383e-01
8.858667904100822610e-02 1.492106754197250140e+00 4.350898051716931558e-01
1.128837891684688899e-01 1.617661373574205808e+00 7.857826718626992335e-01
1.438449888287662848e-01 1.753780895497543568e+00 1.495839747065354386e+00
1.832980710832435578e-01 1.901354312872250540e+00 2.908136499248890949e+00
2.335721469090121238e-01 2.061345423683782929e+00 5.654737656261890955e+00
2.976351441631317485e-01 2.234799125536560904e+00 1.087116100838101929e+01
3.792690190732249667e-01 2.422848239851878915e+00 2.055929758579856070e+01
4.832930238571752080e-01 2.626720910293872890e+00 3.821505861852158148e+01
6.158482110660260522e-01 2.847748623742476948e+00 6.994384200282847530e+01
7.847599703514610558e-01 3.087374906198115276e+00 1.264239807025773672e+02
1.000000000000000000e+00 3.347164750410847489e+00 2.261030342842165055e+02
