# mlight/meV nloc/cm-3 sensitivity
9.575519974760622688e+01 1.168951816498578289e+01 1.098791279556550482e-01
1.011244715258004874e+02 1.168951816498578289e+01 0.000000000000000000e+00
1.067948139456319865e+02 1.168951816498578289e+01 0.000000000000000000e+00
1.127831089112024898e+02 1.168951816498578289e+01 0.000000000000000000e+00
1.191071849439410357e+02 1.168951816498578289e+01 0.000000000000000000e+00
1.257858702621828968e+02 1.168951816498578289e+01 0.000000000000000000e+00
1.328390488370752678e+02 1.168951816498578289e+01 0.000000000000000000e+00
1.402877195916981350e+02 1.168951816498578289e+01 0.000000000000000000e+00
1.481540589196547160e+02 1.168951816498578289e+01 1.361483193423842775e-01
1.564614867092575139e+02 1.168951816498578289e+01 0.000000000000000000e+00
1.652347360698838656e+02 1.168951816498578289e+01 1.910209852537382014e-01
1.744999269680897100e+02 1.168951816498578289e+01 6.356198167989642045e-02
1.842846439927142228e+02 1.168951816498578289e+01 0.000000000000000000e+00
1.946180184804990745e+02 1.168951816498578289e+01 0.000000000000000000e+00
2.055308152467293610e+02 1.168951816498578289e+01 0.000000000000000000e+00
2.170555241791140872e+02 1.168951816498578289e+01 0.000000000000000000e+00
2.292264569675991766e+02 1.168951816498578289e+01 1.573114550663707034e-01
2.420798492581035646e+02 1.168951816498578289e+01 0.000000000000000000e+00
2.556539685343107919e+02 1.168951816498578289e+01 0.000000000000000000e+00
2.699892280487055132e+02 1.168951816498578289e+01 0.000000000000000000e+00
2.851283071420536999e+02 1.168951816498578289e+01 0.000000000000000000e+00
3.011162783095454074e+02 1.168951816498578289e+01 0.000000000000000000e+00
3.180007413919040005e+02 1.168951816498578289e+01 0.000000000000000000e+00
3.358319652909805768e+02 1.168951816498578289e+01 0.000000000000000000e+00
3.546630376317539231e+02 1.168951816498578289e+01 2.371687888883413642e-01
3.745500228163097063e+02 1.168951816498578289e+01 0.000000000000000000e+00
3.955521289403679930e+02 1.168951816498578289e+01 0.000000000000000000e+00
