# mncdm MFD HEDR HELT HE LTDR
2.828282828282828454e-02 2.770169669893885717e-05 1.322968631525328342e-01 2.143693075045959018e-02 8.837590169271258844e-02 3.059182897441733440e-01
3.030303030303030387e-02 2.722873482187521699e-05 1.374726881966014391e-01 2.278100085597645555e-02 8.449035447907649043e-02 3.390507336668068805e-01
3.232323232323232320e-02 3.044700313659785913e-05 1.354141794643382302e-01 2.210701246211255883e-02 8.355991862131030568e-02 3.777284739068528241e-01
3.434343434343434254e-02 2.524361305360229023e-05 1.379022117299066319e-01 2.428666300667920233e-02 8.078749903295683044e-02 4.182967845919927652e-01
3.636363636363636187e-02 2.577122426273148408e-05 1.524867207333150121e-01 2.452504841993181570e-02 8.284213903563814041e-02 4.494930477771597044e-01
3.838383838383838120e-02 2.515714610205219568e-05 1.709239597013829937e-01 2.699270271758646977e-02 7.902493277440987562e-02 5.026370459884547115e-01
4.040404040404040054e-02 2.549650956503654654e-05 1.801438314236710192e-01 2.779845319437755993e-02 7.999937499755857551e-02 5.502126861496379195e-01
4.242424242424242681e-02 3.095244739919607795e-05 1.826745740380965044e-01 3.009953488012729814e-02 8.048266894182870557e-02 5.954510895111368995e-01
4.444444444444444614e-02 2.789777768927123754e-05 1.926675893864871203e-01 3.172226347535749003e-02 7.623083365672973788e-02 6.298047316430704923e-01
4.646464646464646547e-02 2.810519524927731339e-05 2.074478247656504071e-01 3.132315437499869765e-02 7.744791798363594160e-02 6.842572615617608101e-01
4.848484848484848481e-02 2.625901749875649975e-05 2.216939331601115448e-01 3.664862889659038780e-02 7.240842492417577658e-02 7.360937440299299972e-01
5.050505050505050414e-02 2.663088432628552332e-05 2.351624970100462397e-01 3.767651788581317246e-02 7.258016257904083279e-02 7.884338906972480077e-01
5.252525252525252347e-02 2.318447756581976563e-05 2.401437069756357234e-01 3.931134696242295085e-02 7.273747314830231181e-02 8.314072407671224685e-01
5.454545454545454281e-02 2.904868327480610634e-05 2.554732862747101096e-01 3.736771333651552063e-02 7.378712624841815559e-02 8.865697942068633264e-01
5.656565656565656908e-02 3.003344802049874360e-05 2.642010598010537947e-01 4.415074178312296260e-02 7.253730074933860406e-02 9.373814591723051981e-01
5.858585858585858841e-02 2.296697629205899632e-05 2.841024463111854192e-01 4.457476864774510827e-02 7.333921188559364146e-02 9.945551769509825002e-01
6.060606060606060774e-02 2.608459315381399542e-05 3.071094267520943499e-01 4.795956630329344800e-02 7.528452696271657751e-02 1.048021946335094601e+00
6.262626262626262708e-02 2.783720531950001665e-05 3.074608918220331777e-01 5.022927433280317822e-02 7.452395587997191762e-02 1.102634118826367526e+00
6.464646464646464641e-02 2.753430587467205445e-05 3.276345525123990909e-01 5.037777287653752434e-02 7.702596964660685108e-02 1.158764859667396063e+00
6.666666666666666574e-02 2.889993079576489199e-05 3.430854121060818440e-01 5.224519116626907128e-02 7.888421895411021345e-02 1.217515502981378894e+00
6.868686868686868507e-02 2.821687438395684646e-05 3.626643075903665525e-01 5.473810373039972310e-02 8.068419919662089823e-02 1.262880041809197218e+00
7.070707070707070441e-02 2.831642632819332368e-05 3.854781446463599326e-01 5.935537043941348234e-02 8.367544442666557947e-02 1.329839088010275061e+00
7.272727272727272374e-02 3.012686508749292194e-05 3.931200834350745965e-01 6.066151992820489891e-02 8.585138321541475881e-02 1.385535997367083993e+00
7.474747474747474307e-02 2.903532331488664544e-05 4.126649973041086605e-01 6.150642242888135908e-02 8.826856745183983555e-02 1.446831019849933897e+00
7.676767676767676241e-02 2.803240981435595514e-05 4.288398302396828621e-01 6.563474689522311167e-02 9.284600152941428763e-02 1.492715646062571455e+00
7.878787878787878174e-02 2.805059714159397518e-05 4.423679463975662141e-01 7.157597362243842132e-02 9.734248815394025423e-02 1.546447541948966498e+00
8.080808080808080107e-02 3.057315816202179612e-05 4.725505263990296134e-01 7.014770131657914465e-02 9.803601379085136180e-02 1.616149745537213578e+00
8.282828282828283428e-02 2.934048397692171756e-05 4.844832298439235019e-01 7.633609893097760557e-02 1.042126671763082685e-01 1.666025209893295722e+00
8.484848484848485362e-02 2.907280516221301736e-05 5.042439885610933148e-01 7.513241643924412072e-02 1.084006457545341334e-01 1.725827337829598740e+00
8.686868686868687295e-02 3.077044036083981883e-05 5.207283360832209995e-01 7.653600459914275400e-02 1.149299786826744330e-01 1.781757559265569668e+00
8.888888888888889228e-02 2.886620861838284406e-05 5.439503653827248986e-01 8.043519130330951949e-02 1.171420505198709633e-01 1.842476594152555380e+00
9.090909090909091161e-02 2.910632233725174786e-05 5.749921738597839616e-01 7.775217038771330136e-02 1.194176703842442233e-01 1.899094521081033493e+00
9.292929292929293095e-02 2.767316389573118554e-05 5.845511098270192996e-01 8.495339899026994879e-02 1.269630654954424231e-01 1.963430671044944287e+00
9.494949494949495028e-02 2.930546024207775384e-05 6.065987141430486673e-01 9.032054029953541507e-02 1.333319916599163268e-01 2.018866018338017376e+00
9.696969696969696961e-02 2.870940612412593910e-05 6.237723943875682631e-01 9.287863048085927276e-02 1.385239329502306604e-01 2.067321939128011099e+00
9.898989898989898895e-02 3.086927274815524339e-05 6.423425877209139045e-01 9.807558309793523721e-02 1.446927779814873860e-01 2.121984919833314720e+00
1.010101010101010083e-01 3.126787488781416992e-05 6.661276154011331885e-01 8.879605847108304473e-02 1.442199708778225953e-01 2.193216815547427867e+00
1.030303030303030276e-01 2.811117215627978737e-05 6.876074461493272283e-01 1.014173555166964502e-01 1.572176834837608339e-01 2.239812492151965539e+00
1.050505050505050469e-01 3.028626751516270914e-05 7.070898104201474021e-01 1.088897607674844670e-01 1.657238667181042957e-01 2.293355620046747312e+00
1.070707070707070663e-01 2.426697344128435111e-05 7.311265280373842046e-01 1.083009695247461740e-01 1.668586227918713305e-01 2.355627304986932735e+00
1.090909090909090856e-01 2.474356481996884826e-05 7.512789095935010764e-01 1.117738788805327232e-01 1.759863631080544888e-01 2.412003316747304726e+00
1.111111111111111049e-01 3.005691268244295271e-05 7.779485844193045896e-01 1.037340831163991173e-01 1.738942207205288470e-01 2.470809583921836694e+00
1.131313131313131382e-01 2.507604434515141005e-05 7.956569612590591589e-01 1.187054337425208217e-01 1.825847748307618257e-01 2.525858269974782022e+00
1.151515151515151575e-01 3.220468909957057633e-05 8.160073529080482668e-01 1.212452060907976692e-01 1.930984205010491672e-01 2.581232263861584109e+00
1.171717171717171768e-01 2.697791689511997847e-05 8.387502608047284758e-01 1.250722191375846781e-01 2.006439632782406890e-01 2.632056230402382457e+00
1.191919191919191962e-01 2.636998293514806091e-05 8.526664060463505779e-01 1.283337835489938294e-01 2.061431541429401826e-01 2.686972273768376773e+00
1.212121212121212155e-01 3.116783598519474004e-05 8.943779961515153643e-01 1.192185388268116597e-01 2.042170414044822135e-01 2.755514471019885558e+00
1.232323232323232348e-01 3.016759851231118499e-05 9.105196318586435966e-01 1.351334895575482531e-01 2.136791988004447806e-01 2.801267570226021686e+00
1.252525252525252542e-01 2.442232585156459045e-05 9.338201111563190215e-01 1.367939326139869516e-01 2.263656334340528875e-01 2.858768965831272268e+00
1.272727272727272596e-01 2.833227841173384851e-05 9.587137216082807223e-01 1.402064192538986509e-01 2.313447643669508391e-01 2.914662930769182481e+00
1.292929292929292928e-01 3.093030876017890664e-05 9.680020661134974835e-01 1.457333180847811549e-01 2.411841620007416642e-01 2.958432017133400205e+00
1.313131313131313260e-01 2.950871057840379511e-05 1.005722625777107693e+00 1.370668450063690647e-01 2.383879191569908407e-01 3.029564325113430989e+00
1.333333333333333315e-01 3.016971991915072369e-05 1.032223812939810026e+00 1.492347144601416098e-01 2.455907164369207085e-01 3.081937702160769010e+00
1.353535353535353647e-01 2.609915707451104702e-05 1.054034155044323073e+00 1.552237095291824354e-01 2.610666581545793563e-01 3.129031799135316927e+00
1.373737373737373701e-01 2.425543238122132583e-05 1.070863203215051129e+00 1.564352901362093540e-01 2.659357065156914834e-01 3.188275395884113461e+00
1.393939393939394034e-01 2.913640334701590961e-05 1.091852554148223797e+00 1.570452164187117194e-01 2.718911546924614453e-01 3.241721764741693601e+00
1.414141414141414088e-01 2.853503110213829753e-05 1.123970640185943726e+00 1.557908854843568780e-01 2.715161137022994442e-01 3.294650209051030565e+00
1.434343434343434420e-01 2.599092149193637266e-05 1.149128365327390267e+00 1.677146385978278142e-01 2.811679213566156688e-01 3.350462654619507763e+00
1.454545454545454475e-01 2.498439512976049798e-05 1.161327688466954555e+00 1.707928569934937246e-01 2.935315996617740564e-01 3.407934858532363442e+00
1.474747474747474807e-01 2.751374202103378175e-05 1.188299625515383262e+00 1.755448660599335242e-01 3.014057066480327896e-01 3.452236955946100583e+00
1.494949494949494861e-01 2.697461769886646524e-05 1.209381660188379115e+00 1.765882215777711539e-01 3.063817879704993086e-01 3.508717714493430062e+00
1.515151515151515194e-01 2.821935505995840264e-05 1.246520757949902691e+00 1.787730404731093514e-01 3.056308230529113379e-01 3.573222635101261258e+00
1.535353535353535248e-01 2.928897403460899626e-05 1.259686468927883718e+00 1.843030113698634065e-01 3.114748786017902948e-01 3.620773398046334357e+00
1.555555555555555580e-01 2.718135390299754751e-05 1.284836176327550206e+00 1.871934827925374190e-01 3.285878877865098802e-01 3.676171921986238988e+00
1.575757575757575635e-01 2.704596088143292255e-05 1.310319045118401693e+00 1.910366456991956230e-01 3.335068215194406105e-01 3.731594833311890902e+00
1.595959595959595967e-01 2.694976808805596956e-05 1.340674457129694019e+00 1.867650930982553970e-01 3.364434573594796141e-01 3.785884308850443247e+00
1.616161616161616021e-01 2.946828803985735310e-05 1.358549962275955370e+00 1.969350146621976494e-01 3.412069753097084490e-01 3.844289271113712658e+00
1.636363636363636354e-01 2.722686173616048675e-05 1.382611297509173331e+00 2.022552842325757438e-01 3.497273223527152530e-01 3.897424790807386685e+00
1.656565656565656686e-01 2.741080079092911203e-05 1.407658339228663902e+00 2.070854895930663853e-01 3.623313400742475543e-01 3.945364368470927197e+00
1.676767676767676740e-01 2.936119888560410757e-05 1.428670710835775459e+00 2.120490509292602410e-01 3.707395312075582039e-01 4.000057499586724852e+00
1.696969696969697072e-01 3.210875270078238390e-05 1.451771331856363645e+00 2.071105984733760397e-01 3.732128079259874331e-01 4.061809941393122791e+00
1.717171717171717127e-01 3.098557729008772450e-05 1.476827681214027077e+00 2.180426563771410142e-01 3.783112475198167068e-01 4.110931767859933750e+00
1.737373737373737459e-01 2.972934577147637157e-05 1.503356245206038944e+00 2.223722104940273336e-01 3.832685742400490647e-01 4.168241835594475475e+00
1.757575757575757514e-01 2.573534534448683310e-05 1.527101830265421567e+00 2.224774145840426598e-01 3.959691907206923100e-01 4.224788752115305357e+00
1.777777777777777846e-01 2.530853610938412228e-05 1.555448488378834204e+00 2.162285827544545569e-01 3.959962121030957682e-01 4.280257001629691693e+00
1.797979797979797900e-01 2.973139754535598629e-05 1.578797010384805688e+00 2.219373785553032941e-01 4.038985021017037491e-01 4.333266666153837932e+00
1.818181818181818232e-01 2.720731519279327812e-05 1.599849992968090717e+00 2.359622851220084250e-01 4.119912620432622519e-01 4.380890320471399590e+00
1.838383838383838287e-01 2.825158402638691123e-05 1.625287666845472767e+00 2.388233656910479230e-01 4.280927469602819335e-01 4.436509889541552454e+00
1.858585858585858619e-01 2.823869685378558564e-05 1.641145941103349992e+00 2.413101738427122223e-01 4.312477246316784862e-01 4.493773470036067863e+00
1.878787878787878673e-01 2.472828340180531010e-05 1.673063059182169576e+00 2.366710797710611658e-01 4.301299803547760092e-01 4.551241588841445029e+00
1.898989898989899006e-01 2.916631618837044692e-05 1.696166265435083975e+00 2.482526938423831042e-01 4.399568160626676772e-01 4.601391094006245908e+00
1.919191919191919060e-01 2.833746636522044542e-05 1.723101854215240536e+00 2.523992868452682448e-01 4.465825791497021746e-01 4.661029929103652769e+00
1.939393939393939392e-01 2.878471816780563784e-05 1.736191233706702031e+00 2.572201391804304627e-01 4.595606597610374378e-01 4.710222924660785182e+00
1.959595959595959724e-01 2.770155230307500341e-05 1.774012401309528641e+00 2.517637781731120739e-01 4.578056356140671190e-01 4.773258844856415273e+00
1.979797979797979779e-01 2.811739675005493750e-05 1.796886195617296123e+00 2.544106915992329077e-01 4.679722213978090295e-01 4.828188065931152018e+00
2.000000000000000111e-01 3.431469073152197116e-05 1.813185042956178883e+00 2.644144474116344457e-01 4.712982070833709458e-01 4.882868009684472099e+00
